"REF_DATE","GEO","DGUID","Vehicle type","Fuel type","Origin of manufacture","Sales","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-04","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","9839","","","","0"
"2024-05","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","10937","","","","0"
"2024-06","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","8395","","","","0"
"2024-07","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","9680","","","","0"
"2024-08","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","11431","","","","0"
"2024-09","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","11332","","","","0"
"2024-10","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","9799","","","","0"
"2024-11","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","8012","","","","0"
"2024-12","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","7627","","","","0"
"2025-01","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","6499","","","","0"
"2025-02","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","6849","","","","0"
"2025-03","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","9549","","","","0"
"2025-04","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","10551","","","","0"
"2025-05","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","11003","","","","0"
"2025-06","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","12489","","","","0"
"2025-07","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","13691","","","","0"
"2025-08","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","11568","","","","0"
"2025-09","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","10418","","","","0"
"2025-10","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","10424","","","","0"
"2025-11","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","8667","","","","0"
"2020-01","Canada","2021A000011124","Trucks","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815524","1.3.1.2.1.1","72018","","","","0"
"2020-02","Canada","2021A000011124","Trucks","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815524","1.3.1.2.1.1","81211","","","","0"
"2020-03","Canada","2021A000011124","Trucks","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815524","1.3.1.2.1.1","60074","","","","0"
